SITE,STATION,USE,CAUSE,11-DIG HUC,BASIN,priority
S TYGER RVR AT SC 290 3.7 MI E OF GREER,B-263,REC,FC,03050107010,BROAD,3
LAWSONS FORK CK AT S-42-218 2.7 MI SSE OF INMAN,B-277,REC,FC,03050105180,BROAD,2
LAWSONS FORK CK AT UN# RD ,B-278,REC,FC,03050105180,BROAD,2
,B-280,AL,BIO,,BROAD,1
,B-280,REC,FC,,BROAD,1
TINKER CK AT UN# CO RD 1.7 MI SSE OF UNION,B-287,REC,FC,03050107060,BROAD,2
PAGE CK AT S-42-1258 1.7 MI SE LANDRUM,B-301,REC,FC,03050105155,BROAD,2
S PACOLET RVR AT S-42-866 1 MI SE CAMPOBELLO,B-302,REC,FC,03050105160,BROAD,2
TRIB TO N TYGER RVR AT UN# RD ,B-315,REC,FC,03050107020,BROAD,2
,B-316,AL,CU,,BROAD,1
,B-316,AL,ZN,,BROAD,1
CRANE CK AT S-40-43 UNDER I-20 - N COLA,B-316,REC,FC,03050106060,BROAD,3
MUSH CK AT SC 253 BL TIGERVILLE,B-317,REC,FC,03050107010,BROAD,2
BIG CEDAR CK AT SC 215,B-320,REC,FC,03050106090,BROAD,2
,B-321,AL,ZN,,BROAD,1
,B-321,AL,CU,,BROAD,1
,B-321,AL,CR,,BROAD,1
,B-321,REC,FC,,BROAD,1
DOOLITTLE CK AT S-11-100 1.25 MI SE OF BLACKSBURG,B-323,REC,FC,03050105094,BROAD,2
CLARK FORK INTO CRAWFORD LK ON UN# RD NEAR SC 161 & 705-KINGS MT,B-325,REC,FC,03050105142,BROAD,2
GUYONMOORE CREEK AT S-46-233,B-330,REC,FC,03050105094,BROAD,2
"PACOLET RVR AT S-42-59, BEACON LIGHT ROAD IN CLIFTON",B-331,REC,FC,03050105170,BROAD,3
"KINGS CREEK AT S-11-209, 3 MI W OF SMYRNA",B-333,REC,FC,03050105122,BROAD,2
"GILKEY CK AT S-11-231, 9 MI SE OF GAFFNEY",B-334,REC,FC,03050105130,BROAD,2
"TINKER CK AT S-44-278, 9 MI SSE OF UNION",B-336,REC,FC,03050107060,BROAD,2
"MILL CK AT S-20-48, 10 MI SW OF WINNSBORO",B-338,REC,FC,03050106080,BROAD,2
,BE-001,REC,FC,,BROAD,1
,BE-001,AL,ZN,,BROAD,1
ROCKY CK AT BRDG IN BATESVILLE 1 MI AB JCT WITH ENOREE,BE-007,REC,FC,03050108010,BROAD,2
BRUSHY CK AT S-23-164,BE-009,REC,FC,03050108010,BROAD,2
"ENOREE RVR AT SC 296, 7.5 MI NE OF MAULDIN",BE-017,AL,CU,03050108010,BROAD,2
ENOREE RVR AT SC 418,BE-019,AL,BIO,03050108010,BROAD,2
GILDER CK AT S-23-143 1/4 MI AB JCT WITH ENOREE RVR,BE-020,REC,FC,03050108010,BROAD,2
ENOREE RVR AT US 221,BE-024,REC,FC,03050108020,BROAD,2
BRUSHY CK AT HOWELL RD (UN#) APPROX 5 MI NE OF GREENVILLE,BE-035,REC,FC,03050108010,BROAD,2
BEAVERDAM CK AT RD 1967,BE-039,REC,FC,03050108010,BROAD,2
GILDER CK AT SC 14-AB GILDERS CK PT,BE-040,REC,FC,03050108010,BROAD,2
,BL-001,AL,BIO,,BROAD,1
,BL-001,REC,FC,,BROAD,1
LAWSONS FORK CK AT S-42-79 AT VALLEY FALLS,BL-005,REC,FC,03050105180,BROAD,2
PACOLET RVR AB DAM ,BP-001,REC,FC,03050105190,BROAD,2
GILLS CK AT BRDG ON US 76 (GARNERS FERRY ROAD),C-001,REC,FC,03050110030,SALUDA,2
CONGAREE CK AT US 21 AT CAYCE WATER INTAKE,C-008,REC,FC,03050110020,SALUDA,2
GILLS CK AT SC 48 (BLUFF ROAD),C-017,REC,FC,03050110030,SALUDA,2
MILL CK AT SC 262,C-021,REC,FC,03050110010,SALUDA,2
LK CAROLINE SPILLWAY,C-025,REC,FC,03050110020,SALUDA,2
LK INSPIRATION - ST MATTHEWS (FRONT OF HEALTH DEPT),C-058,AL,DO,03050111020,SANTEE,2
SAVANA BR AT S-32-72 1.7 MI NNW OF S CONGAREE,C-061,REC,FC,03050110020,SALUDA,3
HALFWAY SWP CK AT S-09-43 3 MI E OF ST MATTHEWS,C-063,REC,FC,03050111020,SANTEE,2
,CL-021,AL,TP,,SANTEE,1
,CL-021,AL,PH,,SANTEE,1
,CL-064,AL,TP,,SANTEE,1
,CL-064,AL,PH,,SANTEE,1
"LK WATEREE, WATEREE CK ARM",CL-091,AL,TP,03050104010,CATAWBA,2
CONGAREE RVR AT BLOSSOM ST (BROAD RIVER),CSB-001R,REC,FC,03050110010,SALUDA,2
TURKEY CK 1 MI BL MILLIKEN BARNWELL OUTFALL AT CLINTON ST.,CSTL-001B,REC,FC,03050207020,SALKEHATCHIE,3
SALKEHATCHIE RVR AT SC 278 2.5 MI S BARNWELL,CSTL-003,REC,FC,03050207030,SALKEHATCHIE,2
SALKEHATCHIE RVR AT SC 278 2.5 MI S BARNWELL,CSTL-003,AL,CU,03050207030,SALKEHATCHIE,3
SANDERS BR AT SC 278,CSTL-010,REC,FC,03050208070,SALKEHATCHIE,2
SANDERS BR AT S-25-50,CSTL-011,AL,DO,03050208070,SALKEHATCHIE,3
SANDERS BR AT S-25-50,CSTL-011,AL,BIO,03050208070,SALKEHATCHIE,2
,CSTL-013,REC,FC,,SALKEHATCHIE,1
,CSTL-013,AL,DO,,SALKEHATCHIE,1
SALKEHATCHIE RVR AT SC 64 2 MI W OF BARNWELL,CSTL-028,AL,CU,03050207010,SALKEHATCHIE,2
,CSTL-043,REC,FC,,SALKEHATCHIE,1
,CSTL-043,AL,DO,,SALKEHATCHIE,1
IRELAND CK AT S-15-116 5 1/2 MI N OF WALTERBORO,CSTL-044,REC,FC,03050208020,SALKEHATCHIE,2
SALKEHATCHIE RIVER AT U.S. 301 & 321,CSTL-048,REC,FC,03050207030,SALKEHATCHIE,2
WASSAMASSAW SWP AT US 176,CSTL-063,REC,FC,03050202010,SANTEE,2
HORSESHOE CK AT SC 64,CSTL-071,REC,FC,03050208030,SALKEHATCHIE,2
"LK WARREN, BLACK CK ARM, AT S-25-41 5 MI SW OF HAMPTON",CSTL-075,AL,DO,03050208060,SALKEHATCHIE,2
WHIPPY SWAMP AT S-25-13,CSTL-076,REC,FC,03050207050,SALKEHATCHIE,2
CYPRESS SWAMP AT US 78,CSTL-078,AL,ZN,03050202010,SANTEE,2
DIVERSION CANAL AT SC 45 12.6 MI W OF ST STEPHENS,CSTL-079,AL,CU,03050111010,SANTEE,2
EAGLE CK AT SC 642 5 MI SSE OF SUMMERVILLE,CSTL-099,REC,FC,03050202030,SANTEE,2
ASHLEY RVR AT SC 165,CSTL-102,REC,FC,03050202020,SANTEE,3
SALKEHATCHIE RIVER AT SC 63,CSTL-104,REC,FC,03050207040,SALKEHATCHIE,2
SANDERS BRANCH AT SC RD 363,CSTL-108,REC,FC,03050208070,SALKEHATCHIE,2
COOSAWHATCHIE RVR AT S-25-27 2.5 MI SW CUMMINGS,CSTL-109,AL,DO,03050208070,SALKEHATCHIE,3
COOSAWHATCHIE RVR AT S-03-47,CSTL-110,AL,DO,03050208050,SALKEHATCHIE,2
COMBAHEE RVR BL YEMASSEE OUTFALL,CSTL-111,AL,DO,03050208010,SALKEHATCHIE,2
WADBOO SWP AT SC 402,CSTL-113,REC,FC,03050201020,SANTEE,3
LITTLE SALKEHATCHIE RIVER AT U.S. 601,CSTL-115,REC,FC,03050207060,SALKEHATCHIE,2
LEMON CREEK AT S-05-541,CSTL-116,REC,FC,03050207070,SALKEHATCHIE,2
LITTLE SALKEHATCHIE RIVER AT SC 64,CSTL-117,REC,FC,03050207080,SALKEHATCHIE,2
WILLOW SWAMP AT S-15-27,CSTL-118,REC,FC,03050207100,SALKEHATCHIE,2
BUCKHEAD CREEK AT SC 212,CSTL-119,REC,FC,03050207090,SALKEHATCHIE,2
LITTLE SALKEHATCHIE RIVER AT SC 63,CSTL-120,REC,FC,03050207110,SALKEHATCHIE,2
,CSTL-121,AL,DO,,SALKEHATCHIE,1
,CSTL-121,REC,FC,,SALKEHATCHIE,1
CYPRESS CREEK AT S-27-108,CSTL-122,REC,FC,03050208080,SALKEHATCHIE,2
CHESSEY CREEK AT S-15-45,CSTL-580,AL,BIO,03050208030,SALKEHATCHIE,2
FULLER SWAMP CREEK AT US 17A,CSTL-581,AL,BIO,03050208030,SALKEHATCHIE,2
REMICK SWAMP CREEK AT S-15-41,CSTL-584,AL,BIO,03050208010,SALKEHATCHIE,2
ROCKY CK AT S-12-335 3.5 MI E OF CHESTER,CW-002,REC,FC,03050103090,CATAWBA,2
FISHING CK AT S-46-347 ,CW-005,REC,FC,03050103050,CATAWBA,2
WILDCAT CK AT S-46-650,CW-006,REC,FC,03050103060,CATAWBA,2
STEELE CK AT S-46-22 N OF FORT MILL,CW-009,REC,FC,03050103028,CATAWBA,2
SUGAR CK AT SC 160 E OF FORT MILL,CW-013,AL,ZN,03050103028,CATAWBA,2
WATEREE RVR AT US 1,CW-019,AL,DO,03050104030,CATAWBA,2
"BIG PINE TREE CK AT US 521, NW BRIDGE",CW-021,REC,FC,03050104070,CATAWBA,3
CROWDERS CK AT S-46-564 NE CLOVER,CW-023,REC,FC,03050101190,CATAWBA,2
CROWDERS CREEK AT S-46-1104,CW-024,REC,FC,03050101190,CATAWBA,2
FISHING CK AT SC 49 NE YORK,CW-029,REC,FC,03050103050,CATAWBA,2
CEDAR CK RESERVOIR,CW-033,AL,TP,03050103010,CATAWBA,2
LITTLE WATEREE CK AT S-20-41 5 MI E OF WINNSBORO,CW-040,REC,FC,03050104010,CATAWBA,2
GILLS CK AT US 521 NNW OF LANCASTER,CW-047,REC,FC,03050103042,CATAWBA,2
FISHING CK RESERVOIR,CW-057,AL,TP,03050103010,CATAWBA,2
MCALPINE CK AT S-29-64,CW-064,AL,BIO,03050103028,CATAWBA,2
MCALPINE CK AT S-29-64,CW-064,REC,FC,03050103028,CATAWBA,3
BIG WATEREE CK AT US 21,CW-072,REC,FC,03050104020,CATAWBA,2
SAWNEYS CK AT S-28-37,CW-079,REC,FC,03050104050,CATAWBA,2
TWENTYFIVE MILE CK AT S-28-05 3.7 MI W OF CAMDEN,CW-080,REC,FC,03050104060,CATAWBA,3
TWELVEMILE CREEK AT S-29-55 0.3 MI NW OF VAN WYCK,CW-083,REC,FC,03050103038,CATAWBA,2
,CW-088,AL,DO,,CATAWBA,1
,CW-088,REC,FC,,CATAWBA,1
BROWN CK AT UNIMP RD 1.2 MI N OF CLOVER,CW-105,REC,FC,03050101190,CATAWBA,2
BEAR CK AT S-29-292 1.6 MI W OF LANCASTER,CW-131,REC,FC,03050103042,CATAWBA,2
CALABASH BR AT S-46-414 2.5 MI SE OF CLOVER,CW-134,REC,FC,03050101200,CATAWBA,3
WAXHAW CK AT S-29-29,CW-145,REC,FC,03050103038,CATAWBA,3
BEAR CK AT S-29-362 3.5 MI SE OF LANCASTER,CW-151,REC,FC,03050103042,CATAWBA,2
BEAVERDAM CK AT S-46-152 8 MI E OF CLOVER,CW-153,REC,FC,03050101190,CATAWBA,3
SPEARS CK AT US 601,CW-166,REC,FC,03050104090,CATAWBA,2
